text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"Negative: missing guardrails was observed but not corrected. On 13 March 2024 at 20:40, an incident occurred at Training Room. The incident was reported by Charlie Graham. Harper Murphy from the Quality Assurance department was involved."
"All crane was used correctly during painting. Blake Lewis from the HR department was involved. On 02 June 2025 at 02:51, an incident occurred at Dockyard South. The incident was reported by Cameron Morgan."
"The incident was reported by Skyler Holmes. On 21 May 2025 at 15:49, an incident occurred at Cafeteria. All forklift was used correctly during repairing the hull. Blake Reed from the Operations department was involved."
"Negative: missing guardrails was observed but not corrected. The incident was reported by Avery Graham. Drew Bailey from the Procurement department was involved. On 22 June 2025 at 10:19, an incident occurred at Warehouse B."
"Paint crew followed confined space entry without violations. On 08 August 2025 at 04:34, an incident occurred at Dockyard North. Reese Lee from the Dockyard Operations department was involved. The incident was reported by Riley Johnson."
"The incident was reported by Blake Cooper. All forklift was used correctly during repairing the hull. Riley Smith from the Logistics department was involved. On 29 April 2025 at 16:33, an incident occurred at Warehouse A."
"The incident was reported by Frankie Mitchell. On 13 September 2024 at 07:54, an incident occurred at Shipyard Pier. Paint crew followed PPE guidelines without violations. Sydney Pearson from the Finance department was involved."
"The incident was reported by Spencer Parker. On 01 September 2024 at 14:09, an incident occurred at Warehouse B. Charlie Brown from the Finance department was involved. Negative: blocked emergency exit was observed but not corrected."
"Riley Morgan from the Operations department was involved. Paint crew followed confined space entry without violations. On 29 March 2024 at 11:51, an incident occurred at Dockyard North. The incident was reported by Charlie West."
"Quinn Foster from the Legal department was involved. Welding team followed lockout/tagout without violations. The incident was reported by Jordan Bennett. On 13 March 2025 at 06:33, an incident occurred at Shipyard Pier."
"The incident was reported by Alex Lewis. Jamie Reed from the Legal department was involved. Negative: missing guardrails was observed but not corrected. On 13 January 2024 at 07:05, an incident occurred at Main Gate Security."
"Paint crew followed PPE guidelines without violations. Kai Brown from the Procurement department was involved. On 27 July 2025 at 07:48, an incident occurred at Engineering Workshop. The incident was reported by Skyler Lewis."
"All crane was used correctly during painting. The incident was reported by Avery Murray. Drew Pearson from the IT department was involved. On 14 February 2025 at 19:27, an incident occurred at Training Room."
"Negative: untidy cables was observed but not corrected. On 21 May 2024 at 17:02, an incident occurred at Office - Admin Block. Charlie Mitchell from the Operations department was involved. The incident was reported by Dakota Smith."
"Jamie Sullivan from the Warehouse department was involved. The incident was reported by Frankie Cooper. Paint crew followed lockout/tagout without violations. On 31 March 2024 at 06:11, an incident occurred at IT Server Room."
"The incident was reported by Cameron Mitchell. On 21 December 2024 at 02:33, an incident occurred at Office - Admin Block. Jesse Mitchell from the Finance department was involved. Paint crew followed lockout/tagout without violations."
"On 20 February 2025 at 22:27, an incident occurred at Reception Area. Drew Graham from the Security department was involved. All crane was used correctly during welding. The incident was reported by Drew Bailey."
"The incident was reported by Kai Pearson. Avery Smith from the Facilities department was involved. Welding team followed lockout/tagout without violations. On 13 July 2025 at 08:16, an incident occurred at Dockyard South."
"The incident was reported by Drew Pearson. Blake Fisher from the Environmental Services department was involved. Scaffolders followed lockout/tagout without violations. On 02 November 2024 at 15:47, an incident occurred at Office - Admin Block."
"On 16 July 2025 at 03:47, an incident occurred at Dockyard North. Welding team followed lockout/tagout without violations. Dakota Fisher from the Operations department was involved. The incident was reported by Sawyer Murray."
"Morgan Reed from the Communications department was involved. The incident was reported by Quinn Johnson. Scaffolders followed lockout/tagout without violations. On 11 March 2024 at 13:19, an incident occurred at Warehouse B."
"The incident was reported by Chris Reed. Logan Brown from the Fleet Management department was involved. On 14 August 2024 at 04:22, an incident occurred at Paint Shop. Paint crew followed PPE guidelines without violations."
"Avery Murray from the Facilities department was involved. On 29 June 2024 at 23:33, an incident occurred at Tool Crib. The incident was reported by Dakota Davis. All forklift was used correctly during painting."
"Welding team followed PPE guidelines without violations. The incident was reported by Quinn Payne. On 22 January 2025 at 13:13, an incident occurred at Engineering Workshop. Blake Ward from the Logistics department was involved."
"On 03 August 2024 at 13:25, an incident occurred at Fleet Garage. All grinder was used correctly during painting. The incident was reported by Charlie Reed. Morgan Hughes from the Finance department was involved."
"The incident was reported by Peyton Ward. Negative: untidy cables was observed but not corrected. Avery Allen from the Ship Maintenance department was involved. On 19 January 2025 at 02:02, an incident occurred at Fuel Depot."
"Sydney Graham from the Warehouse department was involved. On 22 June 2025 at 01:17, an incident occurred at Fuel Depot. The incident was reported by Alex Walker. Negative: untidy cables was observed but not corrected."
"Alex Parker from the Training & Development department was involved. The incident was reported by Elliot Hughes. Welding team followed confined space entry without violations. On 26 March 2025 at 03:20, an incident occurred at Shipyard Pier."
"All forklift was used correctly during painting. The incident was reported by Harper Smith. Jesse Morgan from the Communications department was involved. On 01 November 2024 at 11:16, an incident occurred at Shipyard Pier."
"The incident was reported by Spencer Lee. Negative: missing guardrails was observed but not corrected. On 30 August 2024 at 21:29, an incident occurred at Electrical Bay. Morgan Fisher from the Finance department was involved."
"The incident was reported by Harper Payne. Negative: missing guardrails was observed but not corrected. Taylor Pearson from the Training & Development department was involved. On 03 May 2025 at 12:55, an incident occurred at Warehouse A."
"The incident was reported by Casey Smith. Negative: missing guardrails was observed but not corrected. Blake Bennett from the Warehouse department was involved. On 18 April 2024 at 12:15, an incident occurred at Tool Crib."
"All grinder was used correctly during welding. The incident was reported by Avery West. Riley Sullivan from the Finance department was involved. On 28 April 2025 at 02:08, an incident occurred at Electrical Bay."
"Frankie Kennedy from the Research & Development department was involved. On 22 February 2024 at 21:27, an incident occurred at Cafeteria. The incident was reported by Drew Murphy. All crane was used correctly during welding."
"Paint crew followed lockout/tagout without violations. On 05 October 2024 at 10:06, an incident occurred at Cafeteria. Blake Bennett from the Logistics department was involved. The incident was reported by Taylor Smith."
"The incident was reported by Blake Foster. On 26 November 2024 at 14:37, an incident occurred at Warehouse A. Quinn Sullivan from the Research & Development department was involved. Negative: untidy cables was observed but not corrected."
"On 07 January 2025 at 19:16, an incident occurred at Main Gate Security. Emerson Lewis from the Legal department was involved. The incident was reported by Quinn Hughes. Negative: blocked emergency exit was observed but not corrected."
"All grinder was used correctly during welding. Spencer Johnson from the Ship Maintenance department was involved. The incident was reported by Chris Sullivan. On 15 April 2025 at 06:23, an incident occurred at Warehouse B."
"Negative: blocked emergency exit was observed but not corrected. On 20 February 2025 at 05:27, an incident occurred at Dockyard South. Emerson Graham from the Health & Safety department was involved. The incident was reported by Finley Payne."
"On 31 May 2024 at 23:02, an incident occurred at Reception Area. Negative: missing guardrails was observed but not corrected. Frankie Fisher from the Environmental Services department was involved. The incident was reported by Drew Holmes."
"The incident was reported by Reese Walker. Morgan Ward from the Logistics department was involved. All crane was used correctly during welding. On 13 May 2024 at 16:58, an incident occurred at IT Server Room."
"On 11 July 2025 at 20:39, an incident occurred at Dockyard South. The incident was reported by Rowan Foster. Harper Graham from the Training & Development department was involved. Negative: untidy cables was observed but not corrected."
"Peyton Sullivan from the Customer Service department was involved. On 04 July 2025 at 22:41, an incident occurred at Electrical Bay. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Reese Walker."
"On 07 October 2024 at 19:13, an incident occurred at IT Server Room. The incident was reported by Finley Ward. Welding team followed lockout/tagout without violations. Dakota Foster from the Health & Safety department was involved."
"The incident was reported by Blake Lewis. Welding team followed PPE guidelines without violations. On 16 January 2024 at 19:01, an incident occurred at Warehouse B. Alex Reed from the Health & Safety department was involved."
"Charlie Foster from the Finance department was involved. On 26 March 2024 at 03:46, an incident occurred at Shipyard Pier. Scaffolders followed confined space entry without violations. The incident was reported by Logan Mitchell."
"The incident was reported by Taylor Murphy. All grinder was used correctly during repairing the hull. Reese Kennedy from the Fleet Management department was involved. On 28 June 2025 at 15:38, an incident occurred at Dockyard North."
"The incident was reported by Elliot Ward. On 15 June 2024 at 21:18, an incident occurred at Paint Shop. Dakota Murray from the Procurement department was involved. All crane was used correctly during painting."
"On 23 January 2024 at 15:57, an incident occurred at Warehouse A. Negative: untidy cables was observed but not corrected. Skyler Reed from the Quality Assurance department was involved. The incident was reported by Casey Allen."
"All grinder was used correctly during welding. Avery Kennedy from the Procurement department was involved. On 18 August 2025 at 10:24, an incident occurred at Maintenance Shed. The incident was reported by Finley Lee."
"All crane was used correctly during painting. On 02 October 2024 at 00:24, an incident occurred at Cafeteria. The incident was reported by Rowan Pearson. Jamie Sullivan from the Training & Development department was involved."
"Scaffolders followed lockout/tagout without violations. The incident was reported by Frankie Johnson. On 21 November 2024 at 20:52, an incident occurred at Engineering Workshop. Sydney Lewis from the Customer Service department was involved."
"The incident was reported by Sydney Foster. Sawyer Allen from the Communications department was involved. On 12 June 2025 at 04:49, an incident occurred at Maintenance Shed. All crane was used correctly during painting."
"The incident was reported by Harper Clark. All grinder was used correctly during repairing the hull. Cameron Hughes from the Procurement department was involved. On 03 July 2025 at 15:45, an incident occurred at Warehouse B."
"On 11 October 2024 at 08:37, an incident occurred at Shipyard Pier. The incident was reported by Skyler Lee. Avery Brown from the Security department was involved. All crane was used correctly during welding."
"Drew Brown from the Ship Maintenance department was involved. Negative: untidy cables was observed but not corrected. The incident was reported by Taylor Morgan. On 01 January 2024 at 05:13, an incident occurred at Main Gate Security."
"Riley Payne from the Communications department was involved. On 12 May 2024 at 18:57, an incident occurred at Dockyard North. Scaffolders followed confined space entry without violations. The incident was reported by Kai Foster."
"Avery Clark from the Quality Assurance department was involved. The incident was reported by Jordan Graham. On 04 April 2024 at 04:39, an incident occurred at Training Room. Negative: missing guardrails was observed but not corrected."
"Negative: untidy cables was observed but not corrected. The incident was reported by Charlie Smith. On 05 August 2024 at 14:04, an incident occurred at Reception Area. Skyler Foster from the Facilities department was involved."
"Paint crew followed confined space entry without violations. The incident was reported by Logan Robinson. On 01 August 2025 at 20:28, an incident occurred at IT Server Room. Harper Allen from the Environmental Services department was involved."
"On 12 June 2025 at 11:19, an incident occurred at Electrical Bay. Harper Reed from the Environmental Services department was involved. The incident was reported by Elliot Holmes. Negative: blocked emergency exit was observed but not corrected."
"Negative: missing guardrails was observed but not corrected. Jesse Hughes from the Ship Maintenance department was involved. On 24 April 2025 at 13:48, an incident occurred at Dockyard South. The incident was reported by Jamie Bennett."
"On 12 May 2025 at 08:21, an incident occurred at Electrical Bay. The incident was reported by Peyton Bennett. Welding team followed PPE guidelines without violations. Casey West from the Fleet Management department was involved."
"Peyton Payne from the IT department was involved. On 23 March 2024 at 13:26, an incident occurred at Dry Dock 2. Negative: untidy cables was observed but not corrected. The incident was reported by Skyler Clark."
"Negative: blocked emergency exit was observed but not corrected. The incident was reported by Harper Lee. Skyler Payne from the Environmental Services department was involved. On 11 April 2025 at 21:33, an incident occurred at Dry Dock 2."
"On 30 April 2025 at 05:58, an incident occurred at Maintenance Shed. Negative: untidy cables was observed but not corrected. The incident was reported by Kai Davis. Jordan Brown from the Facilities department was involved."
"Taylor Brown from the Legal department was involved. Negative: untidy cables was observed but not corrected. The incident was reported by Emerson Sullivan. On 14 March 2024 at 20:59, an incident occurred at Dockyard North."
"On 06 January 2025 at 15:37, an incident occurred at Dry Dock 1. Jamie Davis from the Legal department was involved. Welding team followed confined space entry without violations. The incident was reported by Avery Smith."
"On 04 March 2025 at 03:51, an incident occurred at Dry Dock 2. Scaffolders followed confined space entry without violations. The incident was reported by Harper Foster. Alex Brown from the Legal department was involved."
"The incident was reported by Drew Murray. On 18 June 2025 at 10:34, an incident occurred at Training Room. Alex Lee from the Customer Service department was involved. All crane was used correctly during painting."
"Scaffolders followed confined space entry without violations. Finley Hughes from the Dockyard Operations department was involved. The incident was reported by Emerson Lewis. On 16 May 2025 at 20:08, an incident occurred at Fleet Garage."
"The incident was reported by Logan Ward. On 03 January 2025 at 06:18, an incident occurred at Maintenance Shed. Frankie Walker from the Security department was involved. All crane was used correctly during welding."
"On 27 June 2025 at 20:25, an incident occurred at Fleet Garage. Peyton Sullivan from the Health & Safety department was involved. Scaffolders followed lockout/tagout without violations. The incident was reported by Blake Bennett."
"Riley Smith from the Dockyard Operations department was involved. On 11 February 2025 at 07:23, an incident occurred at Warehouse A. All crane was used correctly during painting. The incident was reported by Chris Lee."
"On 15 August 2025 at 18:55, an incident occurred at Cafeteria. The incident was reported by Riley Kennedy. Dakota Fisher from the Engineering department was involved. Negative: blocked emergency exit was observed but not corrected."
"Finley West from the Security department was involved. On 09 April 2025 at 18:38, an incident occurred at Fleet Garage. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Taylor Holmes."
"The incident was reported by Finley West. All crane was used correctly during painting. Jordan Holmes from the Security department was involved. On 22 July 2024 at 09:03, an incident occurred at Warehouse A."
"The incident was reported by Logan Payne. Blake Morgan from the Customer Service department was involved. On 24 July 2024 at 07:13, an incident occurred at Dockyard North. Negative: untidy cables was observed but not corrected."
"On 26 January 2024 at 06:46, an incident occurred at Main Gate Security. All forklift was used correctly during painting. The incident was reported by Jamie Bailey. Kai Johnson from the Health & Safety department was involved."
"Jesse Fisher from the Procurement department was involved. The incident was reported by Alex Pearson. On 30 April 2024 at 22:35, an incident occurred at Cafeteria. All grinder was used correctly during welding."
"The incident was reported by Cameron Graham. All crane was used correctly during welding. On 12 May 2024 at 03:00, an incident occurred at Warehouse B. Avery Reed from the Procurement department was involved."
"The incident was reported by Avery Mitchell. Riley Sullivan from the Quality Assurance department was involved. Negative: untidy cables was observed but not corrected. On 15 March 2024 at 09:15, an incident occurred at IT Server Room."
"Skyler Ward from the Ship Maintenance department was involved. On 04 January 2024 at 02:13, an incident occurred at Paint Shop. The incident was reported by Sydney Foster. Welding team followed confined space entry without violations."
"Sawyer Fisher from the Dockyard Operations department was involved. The incident was reported by Jamie Pearson. On 22 January 2025 at 23:14, an incident occurred at IT Server Room. All grinder was used correctly during repairing the hull."
"The incident was reported by Casey Allen. All forklift was used correctly during painting. Logan Murray from the Procurement department was involved. On 13 November 2024 at 14:31, an incident occurred at Shipyard Pier."
"Paint crew followed PPE guidelines without violations. On 12 March 2024 at 19:02, an incident occurred at Reception Area. Alex Smith from the Quality Assurance department was involved. The incident was reported by Chris Foster."
"On 12 March 2024 at 05:59, an incident occurred at Tool Crib. The incident was reported by Avery Pearson. Elliot Cooper from the Operations department was involved. All forklift was used correctly during painting."
"All crane was used correctly during painting. Jamie Graham from the IT department was involved. The incident was reported by Finley Walker. On 14 May 2025 at 06:47, an incident occurred at Engineering Workshop."
"Jordan Clark from the Operations department was involved. The incident was reported by Sydney Ward. On 29 September 2024 at 15:56, an incident occurred at Paint Shop. Welding team followed PPE guidelines without violations."
"All crane was used correctly during painting. The incident was reported by Jesse Graham. Morgan Foster from the Communications department was involved. On 29 March 2024 at 16:28, an incident occurred at Dry Dock 1."
"On 19 January 2025 at 19:24, an incident occurred at Shipyard Pier. Morgan Cooper from the Communications department was involved. All forklift was used correctly during welding. The incident was reported by Peyton Davis."
"All crane was used correctly during welding. On 04 April 2024 at 22:17, an incident occurred at Warehouse A. The incident was reported by Harper Johnson. Logan Bailey from the Health & Safety department was involved."
"On 03 October 2024 at 06:36, an incident occurred at Dry Dock 2. Negative: untidy cables was observed but not corrected. Spencer Murray from the Engineering department was involved. The incident was reported by Finley Ward."
"On 04 May 2025 at 22:04, an incident occurred at Fuel Depot. Emerson Bailey from the Communications department was involved. The incident was reported by Chris Payne. Negative: untidy cables was observed but not corrected."
"Paint crew followed PPE guidelines without violations. On 21 February 2024 at 02:43, an incident occurred at Electrical Bay. The incident was reported by Finley Lee. Sydney Robinson from the Warehouse department was involved."
"The incident was reported by Skyler Bailey. On 17 June 2024 at 09:20, an incident occurred at Tool Crib. Emerson Pearson from the Security department was involved. Negative: blocked emergency exit was observed but not corrected."
"Dakota Parker from the Engineering department was involved. On 23 November 2024 at 10:23, an incident occurred at Fuel Depot. Scaffolders followed PPE guidelines without violations. The incident was reported by Alex Robinson."
"Logan Brown from the Communications department was involved. Negative: missing guardrails was observed but not corrected. The incident was reported by Dakota Johnson. On 18 June 2024 at 14:46, an incident occurred at Warehouse A."
"The incident was reported by Rowan Reed. On 11 March 2025 at 08:59, an incident occurred at Main Gate Security. Negative: missing guardrails was observed but not corrected. Spencer Holmes from the Finance department was involved."
"The incident was reported by Elliot Murray. On 26 March 2024 at 14:35, an incident occurred at Dockyard North. Reese Murray from the IT department was involved. All forklift was used correctly during repairing the hull."
"The incident was reported by Morgan Bennett. Negative: blocked emergency exit was observed but not corrected. On 15 August 2025 at 21:41, an incident occurred at Fleet Garage. Frankie Morgan from the IT department was involved."
"Welding team followed lockout/tagout without violations. The incident was reported by Dakota Foster. Frankie Murphy from the Security department was involved. On 07 April 2024 at 08:41, an incident occurred at IT Server Room."
"The incident was reported by Kai Holmes. On 09 September 2024 at 23:16, an incident occurred at Electrical Bay. Jordan Smith from the Training & Development department was involved. Paint crew followed PPE guidelines without violations."
"On 03 January 2024 at 06:07, an incident occurred at Fleet Garage. Welding team followed lockout/tagout without violations. Chris Mitchell from the Procurement department was involved. The incident was reported by Skyler Sullivan."
"The incident was reported by Harper Bailey. Peyton Reed from the Facilities department was involved. On 01 October 2024 at 08:53, an incident occurred at Dry Dock 1. All crane was used correctly during painting."
"Avery Johnson from the HR department was involved. Negative: missing guardrails was observed but not corrected. On 23 April 2025 at 18:39, an incident occurred at Training Room. The incident was reported by Elliot Walker."
"Negative: untidy cables was observed but not corrected. The incident was reported by Quinn Murray. Jesse Holmes from the Security department was involved. On 09 March 2025 at 04:09, an incident occurred at Dockyard South."
"The incident was reported by Chris Brown. On 09 March 2025 at 09:04, an incident occurred at Reception Area. Negative: missing guardrails was observed but not corrected. Sydney Ward from the Operations department was involved."
"The incident was reported by Sydney Brown. On 04 October 2024 at 02:35, an incident occurred at IT Server Room. All crane was used correctly during welding. Charlie Cooper from the Procurement department was involved."
"Skyler Robinson from the Customer Service department was involved. On 04 July 2025 at 18:01, an incident occurred at Office - Admin Block. Negative: untidy cables was observed but not corrected. The incident was reported by Chris Pearson."
"The incident was reported by Logan Ward. On 13 February 2025 at 12:29, an incident occurred at Electrical Bay. Riley Lee from the Health & Safety department was involved. All crane was used correctly during welding."
"All forklift was used correctly during welding. On 17 August 2024 at 14:30, an incident occurred at Dry Dock 1. Dakota Mitchell from the Dockyard Operations department was involved. The incident was reported by Dakota West."
"Paint crew followed PPE guidelines without violations. Riley Ward from the Logistics department was involved. On 08 May 2025 at 19:50, an incident occurred at Warehouse B. The incident was reported by Chris Cooper."
"All forklift was used correctly during painting. Riley Robinson from the Environmental Services department was involved. On 22 August 2024 at 05:33, an incident occurred at Paint Shop. The incident was reported by Peyton Reed."
"Paint crew followed lockout/tagout without violations. Jordan Bailey from the Legal department was involved. On 27 September 2024 at 19:18, an incident occurred at Dry Dock 2. The incident was reported by Elliot Cooper."
"Negative: missing guardrails was observed but not corrected. The incident was reported by Jamie Kennedy. On 15 November 2024 at 07:26, an incident occurred at Dockyard South. Jesse Mitchell from the Ship Maintenance department was involved."
"All grinder was used correctly during repairing the hull. Spencer West from the Dockyard Operations department was involved. On 01 August 2025 at 02:26, an incident occurred at Dockyard South. The incident was reported by Alex Hughes."
"The incident was reported by Sydney Sullivan. On 02 August 2025 at 23:31, an incident occurred at Fleet Garage. All forklift was used correctly during repairing the hull. Kai Lewis from the Health & Safety department was involved."
"The incident was reported by Chris Smith. Paint crew followed lockout/tagout without violations. On 14 January 2024 at 12:19, an incident occurred at Training Room. Sydney Murray from the Customer Service department was involved."
"Scaffolders followed confined space entry without violations. The incident was reported by Morgan Reed. Spencer Foster from the Engineering department was involved. On 07 March 2025 at 08:26, an incident occurred at Maintenance Shed."
"The incident was reported by Peyton Holmes. Peyton Hughes from the Logistics department was involved. Paint crew followed PPE guidelines without violations. On 16 May 2024 at 19:57, an incident occurred at Warehouse B."
"On 28 July 2024 at 19:55, an incident occurred at Warehouse B. Emerson Holmes from the Health & Safety department was involved. The incident was reported by Reese Bennett. Negative: missing guardrails was observed but not corrected."
"The incident was reported by Sydney Allen. On 22 May 2024 at 22:52, an incident occurred at Engineering Workshop. Negative: blocked emergency exit was observed but not corrected. Peyton Cooper from the Facilities department was involved."
"Rowan Kennedy from the Health & Safety department was involved. On 09 April 2025 at 16:03, an incident occurred at Cafeteria. The incident was reported by Elliot Graham. Negative: untidy cables was observed but not corrected."
"Morgan Parker from the Operations department was involved. The incident was reported by Riley Morgan. All grinder was used correctly during painting. On 06 April 2025 at 16:47, an incident occurred at Dockyard North."
"On 17 June 2025 at 19:01, an incident occurred at Reception Area. Scaffolders followed PPE guidelines without violations. The incident was reported by Cameron Brown. Taylor Brown from the Logistics department was involved."
"Negative: missing guardrails was observed but not corrected. Taylor Johnson from the Ship Maintenance department was involved. On 21 February 2024 at 00:20, an incident occurred at Dry Dock 2. The incident was reported by Finley Murphy."
"Cameron Walker from the Facilities department was involved. The incident was reported by Sydney Cooper. On 08 July 2024 at 19:19, an incident occurred at Maintenance Shed. All grinder was used correctly during welding."
"On 06 July 2025 at 06:32, an incident occurred at Dockyard South. The incident was reported by Frankie Reed. Elliot Murray from the Customer Service department was involved. Scaffolders followed lockout/tagout without violations."
"Alex Lee from the Research & Development department was involved. On 23 March 2024 at 18:03, an incident occurred at Fleet Garage. Scaffolders followed PPE guidelines without violations. The incident was reported by Harper Walker."
"Paint crew followed confined space entry without violations. On 14 September 2024 at 21:20, an incident occurred at Cafeteria. The incident was reported by Logan Graham. Elliot Fisher from the Legal department was involved."
"Riley Graham from the Fleet Management department was involved. Scaffolders followed PPE guidelines without violations. The incident was reported by Frankie Parker. On 27 May 2025 at 14:08, an incident occurred at Dry Dock 2."
"Negative: missing guardrails was observed but not corrected. On 08 June 2025 at 09:35, an incident occurred at Reception Area. The incident was reported by Sawyer Reed. Charlie Reed from the Fleet Management department was involved."
"Reese Lee from the Logistics department was involved. On 01 August 2025 at 09:30, an incident occurred at Dockyard South. The incident was reported by Cameron Bailey. Negative: untidy cables was observed but not corrected."
"On 04 July 2024 at 16:55, an incident occurred at Fuel Depot. Negative: untidy cables was observed but not corrected. The incident was reported by Logan Cooper. Drew Lewis from the Health & Safety department was involved."
"Casey Murphy from the Research & Development department was involved. On 29 September 2024 at 05:02, an incident occurred at Tool Crib. The incident was reported by Spencer Sullivan. All grinder was used correctly during welding."
"Paint crew followed lockout/tagout without violations. On 10 April 2025 at 03:11, an incident occurred at Dry Dock 2. The incident was reported by Logan Ward. Chris Graham from the Communications department was involved."
"Negative: untidy cables was observed but not corrected. On 16 July 2025 at 22:08, an incident occurred at Electrical Bay. The incident was reported by Kai Bailey. Taylor Parker from the Warehouse department was involved."
"On 30 October 2024 at 17:30, an incident occurred at Warehouse B. Chris Foster from the Quality Assurance department was involved. All forklift was used correctly during painting. The incident was reported by Sydney Hughes."
"On 01 June 2024 at 06:14, an incident occurred at Dry Dock 2. Elliot Johnson from the IT department was involved. The incident was reported by Reese Ward. Scaffolders followed confined space entry without violations."
"On 20 January 2025 at 21:07, an incident occurred at Warehouse A. Sawyer Ward from the HR department was involved. The incident was reported by Finley Walker. Scaffolders followed confined space entry without violations."
"Chris Allen from the Engineering department was involved. All grinder was used correctly during repairing the hull. The incident was reported by Emerson Bailey. On 06 March 2025 at 16:59, an incident occurred at Warehouse B."
"The incident was reported by Drew Smith. On 15 March 2025 at 16:10, an incident occurred at Dockyard South. Morgan Reed from the IT department was involved. Paint crew followed lockout/tagout without violations."
"Jesse Bailey from the Fleet Management department was involved. On 23 March 2024 at 05:22, an incident occurred at Training Room. The incident was reported by Peyton Fisher. Welding team followed PPE guidelines without violations."
"All grinder was used correctly during repairing the hull. Jordan Parker from the HR department was involved. The incident was reported by Riley Murphy. On 09 April 2025 at 00:45, an incident occurred at Fleet Garage."
"The incident was reported by Casey Clark. Riley Robinson from the Legal department was involved. On 12 September 2024 at 07:15, an incident occurred at Office - Admin Block. All crane was used correctly during welding."
"On 27 June 2025 at 21:43, an incident occurred at Fuel Depot. Sydney Murphy from the Facilities department was involved. All forklift was used correctly during painting. The incident was reported by Taylor Hughes."
"All forklift was used correctly during painting. The incident was reported by Rowan Cooper. Chris Clark from the Warehouse department was involved. On 05 May 2024 at 02:36, an incident occurred at Dry Dock 2."
"Charlie Hughes from the IT department was involved. The incident was reported by Elliot Cooper. On 26 June 2024 at 10:44, an incident occurred at Cafeteria. Negative: blocked emergency exit was observed but not corrected."
"On 02 February 2025 at 03:49, an incident occurred at Dry Dock 2. Skyler Fisher from the Logistics department was involved. Paint crew followed confined space entry without violations. The incident was reported by Logan Graham."
"On 10 December 2024 at 23:35, an incident occurred at Tool Crib. Jesse Ward from the Security department was involved. The incident was reported by Riley Robinson. Negative: untidy cables was observed but not corrected."
"Logan Lee from the Research & Development department was involved. Paint crew followed confined space entry without violations. The incident was reported by Casey Parker. On 13 September 2024 at 13:24, an incident occurred at Warehouse A."
"The incident was reported by Elliot Fisher. On 20 July 2025 at 13:28, an incident occurred at Dockyard South. Paint crew followed PPE guidelines without violations. Morgan Murphy from the Legal department was involved."
"All crane was used correctly during painting. The incident was reported by Alex Johnson. Kai Lewis from the Facilities department was involved. On 12 November 2024 at 07:50, an incident occurred at Maintenance Shed."
"Sawyer Morgan from the Legal department was involved. On 30 June 2024 at 11:29, an incident occurred at IT Server Room. The incident was reported by Alex Bailey. Scaffolders followed confined space entry without violations."
"The incident was reported by Jamie Foster. Avery Sullivan from the Ship Maintenance department was involved. Welding team followed confined space entry without violations. On 14 August 2024 at 11:33, an incident occurred at Main Gate Security."
"Chris Morgan from the Research & Development department was involved. The incident was reported by Emerson Smith. On 28 July 2024 at 18:27, an incident occurred at Warehouse A. Paint crew followed lockout/tagout without violations."
"On 30 December 2024 at 21:39, an incident occurred at Tool Crib. Blake Bailey from the Communications department was involved. The incident was reported by Frankie Hughes. Negative: missing guardrails was observed but not corrected."
"Scaffolders followed confined space entry without violations. The incident was reported by Dakota Davis. On 02 July 2025 at 21:44, an incident occurred at Fleet Garage. Jesse Fisher from the Customer Service department was involved."
"Skyler Graham from the Legal department was involved. The incident was reported by Casey Johnson. All crane was used correctly during repairing the hull. On 04 November 2024 at 17:27, an incident occurred at Shipyard Pier."
"The incident was reported by Dakota Hughes. Welding team followed confined space entry without violations. On 04 March 2025 at 02:59, an incident occurred at Cafeteria. Alex Davis from the Customer Service department was involved."
"Negative: missing guardrails was observed but not corrected. The incident was reported by Harper Kennedy. Reese Lewis from the Operations department was involved. On 02 December 2024 at 22:11, an incident occurred at Cafeteria."
"Jesse Walker from the Legal department was involved. All crane was used correctly during repairing the hull. On 31 March 2024 at 23:36, an incident occurred at Warehouse B. The incident was reported by Finley Reed."
"The incident was reported by Blake Mitchell. On 04 July 2024 at 17:12, an incident occurred at Training Room. Sawyer Ward from the Security department was involved. Welding team followed confined space entry without violations."
"Taylor Hughes from the Quality Assurance department was involved. The incident was reported by Reese Davis. Negative: untidy cables was observed but not corrected. On 12 March 2024 at 03:52, an incident occurred at Dry Dock 2."
"Frankie Sullivan from the Research & Development department was involved. All forklift was used correctly during welding. The incident was reported by Riley Brown. On 29 March 2024 at 01:25, an incident occurred at Dry Dock 1."
"Logan Holmes from the Finance department was involved. All forklift was used correctly during welding. On 15 April 2025 at 12:00, an incident occurred at Maintenance Shed. The incident was reported by Casey Morgan."
